ciudad,fecha,precio_por_km
Valencia,2026-05-02,1.0
Madrid,2026-05-03,1.0
Valencia,2026-05-09,0.9375
Valencia,2026-05-06,0.9285714285714286
Valencia,2026-05-12,0.9230769230769231
Barcelona,2026-05-05,0.9
Madrid,2026-05-07,0.8888888888888888
Barcelona,2026-05-11,0.8888888888888888
Barcelona,2026-05-01,0.875
Barcelona,2026-05-08,0.8636363636363636
Madrid,2026-05-14,0.8571428571428571
Madrid,2026-05-11,0.8333333333333334
Barcelona,2026-05-15,0.8333333333333334
Madrid,2026-05-09,0.8235294117647058
Madrid,2026-05-06,0.8125
Madrid,2026-05-10,0.8095238095238095
